PhraseId,Sentiment
156061,3
156062,3
156063,5
156064,2
156065,3
156066,3
156067,4
156068,5
156069,5
156070,4
156071,2
156072,4
156073,3
156074,4
156075,5
156076,2
156077,5
156078,2
156079,2
156080,2
156081,4
156082,3
156083,2
156084,3
156085,4
156086,3
156087,4
156088,4
156089,2
156090,4
156091,2
156092,2
156093,2
156094,4
156095,4
156096,5
156097,2
156098,2
156099,4
156100,2
156101,4
156102,2
156103,3
156104,3
156105,4
156106,4
156107,4
156108,3
156109,4
156110,4
156111,2
156112,4
156113,2
156114,2
156115,2
156116,3
156117,4
156118,3
156119,4
156120,4
156121,3
156122,4
156123,3
156124,4
156125,4
156126,3
156127,4
156128,2
156129,4
156130,2
156131,4
156132,2
156133,4
156134,4
156135,5
156136,2
156137,4
156138,2
156139,3
156140,4
156141,4
156142,5
156143,3
156144,3
156145,4
156146,4
156147,2
156148,2
156149,3
156150,4
156151,3
156152,4
156153,4
156154,2
156155,2
156156,4
156157,3
156158,4
156159,3
156160,4
156161,3
156162,4
156163,4
156164,4
156165,5
156166,3
156167,5
156168,3
156169,3
156170,4
156171,3
156172,3
156173,4
156174,3
156175,4
156176,5
156177,4
156178,2
156179,4
156180,2
156181,2
156182,4
156183,2
156184,3
156185,2
156186,2
156187,2
156188,2
156189,4
156190,2
156191,2
156192,3
156193,4
156194,2
156195,4
156196,3
156197,3
156198,4
156199,4
156200,4
156201,2
156202,4
156203,2
156204,4
156205,2
156206,5
156207,2
156208,3
156209,2
156210,2
156211,3
156212,4
156213,3
156214,4
156215,4
156216,3
156217,4
156218,4
156219,2
156220,4
156221,2
156222,2
156223,2
156224,2
156225,2
156226,2
156227,3
156228,3
156229,2
156230,4
156231,3
156232,4
156233,3
156234,4
156235,4
156236,3
156237,3
156238,3
156239,5
156240,3
156241,4
156242,5
156243,3
156244,3
156245,5
156246,3
156247,4
156248,5
156249,5
156250,2
156251,2
156252,2
156253,2
156254,2
156255,3
156256,3
156257,4
156258,4
156259,5
156260,3
156261,4
156262,2
156263,3
156264,3
156265,4
156266,4
156267,5
156268,5
156269,2
156270,3
156271,4
156272,2
156273,4
156274,2
156275,2
156276,2
156277,2
156278,2
156279,2
156280,2
156281,2
156282,2
156283,3
156284,3
156285,4
156286,2
156287,3
156288,4
